100000	32	0.007490
100000	48	0.006574
100000	64	0.007111
100000	80	0.005500
100000	96	0.005183
100000	112	0.005197
100000	128	0.005225
100000	144	0.005222
100000	160	0.005175
100000	176	0.005146
100000	192	0.005233
100000	208	0.005249
100000	224	0.005276
100000	240	0.005191
100000	256	0.005117
100000	272	0.005400
100000	288	0.005357
100000	304	0.005372
100000	320	0.005216
100000	336	0.007106
100000	352	0.006931
100000	368	0.006588
100000	384	0.005805
100000	400	0.005832
100000	416	0.005494
100000	432	0.005518
100000	448	0.005403
100000	464	0.005379
100000	480	0.005352
100000	496	0.005383
100000	512	0.005350
100000	528	0.006097
100000	544	0.006046
100000	560	0.006335
100000	576	0.006404
100000	592	0.006825
100000	608	0.006480
100000	624	0.006410
100000	640	0.006911
100000	656	0.006515
100000	672	0.006426
100000	688	0.006246
100000	704	0.006543
100000	720	0.006592
100000	736	0.006306
100000	752	0.006352
100000	768	0.006238
100000	784	0.006468
100000	800	0.006335
100000	816	0.006671
100000	832	0.007010
100000	848	0.006943
100000	864	0.006966
100000	880	0.006962
100000	896	0.007010
100000	912	0.006865
100000	928	0.006883
100000	944	0.006953
100000	960	0.006853
100000	976	0.006885
100000	992	0.006821
100000	1008	0.006968
100000	1024	0.006721
1100000	32	0.055491
1100000	48	0.047485
1100000	64	0.047352
1100000	80	0.047191
1100000	96	0.047287
1100000	112	0.047154
1100000	128	0.047290
1100000	144	0.047283
1100000	160	0.047151
1100000	176	0.047215
1100000	192	0.047244
1100000	208	0.047148
1100000	224	0.047240
1100000	240	0.047167
1100000	256	0.047271
1100000	272	0.047248
1100000	288	0.047140
1100000	304	0.047282
1100000	320	0.047149
1100000	336	0.047421
1100000	352	0.047327
1100000	368	0.047201
1100000	384	0.047243
1100000	400	0.047254
1100000	416	0.047077
1100000	432	0.047239
1100000	448	0.047150
1100000	464	0.047220
1100000	480	0.047199
1100000	496	0.047135
1100000	512	0.047262
1100000	528	0.049795
1100000	544	0.049130
1100000	560	0.048873
1100000	576	0.048443
1100000	592	0.048133
1100000	608	0.048080
1100000	624	0.047901
1100000	640	0.047562
1100000	656	0.047802
1100000	672	0.047588
1100000	688	0.047682
1100000	704	0.047622
1100000	720	0.047501
1100000	736	0.047526
1100000	752	0.047581
1100000	768	0.047396
1100000	784	0.047401
1100000	800	0.047327
1100000	816	0.047315
1100000	832	0.047306
1100000	848	0.047351
1100000	864	0.047263
1100000	880	0.047269
1100000	896	0.047198
1100000	912	0.047277
1100000	928	0.047328
1100000	944	0.047499
1100000	960	0.047357
1100000	976	0.047297
1100000	992	0.047216
1100000	1008	0.047480
1100000	1024	0.047270
2100000	32	0.104656
2100000	48	0.088480
2100000	64	0.088065
2100000	80	0.088196
2100000	96	0.087992
2100000	112	0.088130
2100000	128	0.088155
2100000	144	0.087921
2100000	160	0.088160
2100000	176	0.087909
2100000	192	0.088158
2100000	208	0.087922
2100000	224	0.088047
2100000	240	0.088168
2100000	256	0.087998
2100000	272	0.088116
2100000	288	0.087904
2100000	304	0.088099
2100000	320	0.088081
2100000	336	0.088288
2100000	352	0.088250
2100000	368	0.088094
2100000	384	0.088149
2100000	400	0.087961
2100000	416	0.088095
2100000	432	0.088058
2100000	448	0.087965
2100000	464	0.088103
2100000	480	0.087948
2100000	496	0.088095
2100000	512	0.087988
2100000	528	0.093396
2100000	544	0.092253
2100000	560	0.091417
2100000	576	0.090699
2100000	592	0.090325
2100000	608	0.089770
2100000	624	0.089634
2100000	640	0.089019
2100000	656	0.089170
2100000	672	0.089020
2100000	688	0.088785
2100000	704	0.088682
2100000	720	0.088717
2100000	736	0.088369
2100000	752	0.088464
2100000	768	0.088076
2100000	784	0.088428
2100000	800	0.088122
2100000	816	0.088446
2100000	832	0.088220
2100000	848	0.088013
2100000	864	0.088172
2100000	880	0.088034
2100000	896	0.088169
2100000	912	0.088191
2100000	928	0.087991
2100000	944	0.088143
2100000	960	0.087963
2100000	976	0.088168
2100000	992	0.087933
2100000	1008	0.088183
2100000	1024	0.088168
3100000	32	0.151853
3100000	48	0.128965
3100000	64	0.129170
3100000	80	0.128706
3100000	96	0.129031
3100000	112	0.128793
3100000	128	0.129106
3100000	144	0.128669
3100000	160	0.128926
3100000	176	0.128995
3100000	192	0.128766
3100000	208	0.129070
3100000	224	0.128700
3100000	240	0.129009
3100000	256	0.128738
3100000	272	0.128997
3100000	288	0.128950
3100000	304	0.128684
3100000	320	0.129009
3100000	336	0.129193
3100000	352	0.129059
3100000	368	0.128793
3100000	384	0.128919
3100000	400	0.129052
3100000	416	0.128625
3100000	432	0.128905
3100000	448	0.128574
3100000	464	0.128910
3100000	480	0.128636
3100000	496	0.129061
3100000	512	0.129030
3100000	528	0.135599
3100000	544	0.134157
3100000	560	0.133302
3100000	576	0.131904
3100000	592	0.131601
3100000	608	0.130865
3100000	624	0.130764
3100000	640	0.129938
3100000	656	0.130402
3100000	672	0.130105
3100000	688	0.129841
3100000	704	0.129647
3100000	720	0.129399
3100000	736	0.129445
3100000	752	0.129346
3100000	768	0.128804
3100000	784	0.129269
3100000	800	0.128833
3100000	816	0.129190
3100000	832	0.128801
3100000	848	0.129002
3100000	864	0.128970
3100000	880	0.128731
3100000	896	0.128960
3100000	912	0.128761
3100000	928	0.129023
3100000	944	0.128736
3100000	960	0.129056
3100000	976	0.129066
3100000	992	0.128780
3100000	1008	0.129055
3100000	1024	0.128787
4100000	32	0.202428
4100000	48	0.170173
4100000	64	0.172388
4100000	80	0.170670
4100000	96	0.169773
4100000	112	0.173278
4100000	128	0.174796
