N=8192, reps=300
4	6.319505	6.906775	6.109580	6.134172	
5	4.941350	5.554751	4.974493	4.974632	
6	4.405285	4.696486	4.437815	4.441015	
7	4.390379	4.435058	4.368397	4.374315	
8	3.886848	3.987942	3.854032	3.859854	
9	4.324680	4.314203	4.240396	4.241246	
10	4.186134	4.235168	4.104195	4.128433	
11	4.233773	4.149724	4.106464	4.100401	
12	4.096434	4.118849	3.932883	3.941526	
13	4.211965	4.098578	4.030064	4.027726	
14	4.141453	4.048142	3.952060	3.955574	
15	4.168544	3.986534	3.960902	4.020995	
16	3.224658	3.874575	3.039083	2.990163	
17	4.172272	3.726455	3.908805	3.914916	
18	4.181079	3.653522	3.894021	3.898783	
19	4.243530	3.522045	3.927116	3.936234	
20	4.060854	3.379772	3.741992	3.742061	
21	4.261123	3.307882	3.901086	3.903365	
22	4.204213	3.193326	3.836151	3.843001	
23	4.436210	4.232593	4.040963	4.100527	
24	4.093447	4.128597	3.669394	3.638575	
25	4.292768	4.025779	3.903442	3.909693	
26	4.232226	3.954254	3.829696	3.837820	
27	4.233176	3.883405	3.841937	3.863595	
28	4.094081	3.880682	3.645660	3.641744	
29	4.195453	3.783000	3.805869	3.809904	
30	4.221625	3.769038	3.743386	3.751854	
31	4.591681	3.739751	3.798073	3.941005	
32	5.144617	3.747536	3.716885	2.434221	
